,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Norfolk,75,AU,1556484035,57,-42.78,147.06,51.8,6.93
1,Rikitea,100,PF,1556484159,77,-23.12,-134.97,73.92,27.42
2,Dongsheng,100,CN,1556484162,88,29.72,112.52,53.94,8.1
3,Basco,90,US,1556484098,52,40.33,-91.2,55.4,13.87
4,Egvekinot,100,RU,1556484166,96,66.32,-179.17,27.12,5.14
5,Mahebourg,75,MU,1556483943,94,-20.41,57.7,73.99,5.82
6,Port Lincoln,0,AU,1556484171,76,-34.72,135.86,60.96,11.03
7,Atuona,39,PF,1556484173,74,-9.8,-139.03,83.82,18.16
8,Balgazyn,16,RU,1556484175,50,51.0,95.2,32.88,4.79
9,Sabang,94,PH,1556484177,76,13.72,123.58,81.12,9.44
10,Katherine,100,AU,1556481600,83,-14.47,132.26,75.2,5.82
11,Nanortalik,5,GL,1556484182,73,60.14,-45.24,38.46,4.25
12,Souillac,90,FR,1556484037,71,45.6,-0.6,53.6,5.82
13,Nikolskoye,0,RU,1556484037,44,59.7,30.79,39.2,4.47
14,Ahipara,93,NZ,1556484034,100,-35.17,173.16,57.0,27.22
15,Ushuaia,75,AR,1556481600,70,-54.81,-68.31,46.4,3.06
16,Hobart,75,AU,1556484035,57,-42.88,147.33,51.8,6.93
17,Lipari,20,IT,1556484097,77,38.47,14.95,61.0,2.24
18,Ciudad Bolivar,79,VE,1556483999,23,8.12,-63.55,100.2,10.63
19,Khatanga,98,RU,1556484199,93,71.98,102.47,4.26,13.09
20,Vaini,100,IN,1556484201,82,15.34,74.49,81.84,2.1
21,Fairbanks,1,US,1556484005,29,64.84,-147.72,53.01,1.05
22,Cabo San Lucas,75,MX,1556484027,33,22.89,-109.91,91.0,7.67
23,Kingman,1,US,1556483536,12,35.19,-114.05,98.01,17.22
24,Mayumba,100,GA,1556484210,83,-3.44,10.65,81.66,4.72
25,Airai,82,TL,1556484212,72,-8.93,125.41,76.62,9.6
26,Hermanus,0,ZA,1556483511,98,-34.42,19.24,54.0,1.99
27,Punta Arenas,90,CL,1556484186,93,-53.16,-70.91,42.8,5.82
28,Iqaluit,90,CA,1556484161,84,63.75,-68.52,32.0,23.04
29,Mataura,100,NZ,1556483411,93,-46.19,168.86,48.0,11.01
30,Saskylakh,24,RU,1556484223,95,71.97,114.09,-8.7,6.13
31,Katsuura,75,JP,1556483319,58,33.93,134.5,57.0,1.12
32,Mitu,0,IR,1556484227,61,36.2,46.09,44.4,6.31
33,Ostrovnoy,96,RU,1556484229,79,68.05,39.51,27.84,4.47
34,Mount Isa,85,AU,1556481600,53,-20.73,139.49,73.4,8.05
35,Lagoa,0,PT,1556484118,68,37.14,-8.45,66.99,6.93
36,Tiksi,69,RU,1556484236,95,71.64,128.87,9.3,6.44
37,Pombas,90,BR,1556484238,61,-15.9,-54.74,83.1,0.47
38,Luderitz,10,NA,1556481600,87,-26.65,15.16,57.2,4.7
39,Hasaki,75,JP,1556483936,81,35.73,140.83,48.2,3.36
40,Ilulissat,0,GL,1556481000,86,69.22,-51.1,30.2,3.36
41,Chuy,73,UY,1556484247,70,-33.69,-53.46,67.62,8.48
42,Tieli,38,CN,1556484249,59,46.98,128.05,48.36,6.55
43,Barrow,0,AR,1556484251,38,-38.31,-60.23,69.24,5.68
44,Yulara,90,AU,1556481600,28,-25.24,130.99,57.2,8.05
45,Bluff,95,AU,1556484255,35,-23.58,149.07,63.12,10.54
46,Chokurdakh,58,RU,1556484257,91,70.62,147.9,13.62,7.31
47,East London,0,ZA,1556484260,50,-33.02,27.91,65.1,5.75
48,Maloy,100,ID,1556484262,98,1.0,118.1,74.1,1.79
49,Walvis Bay,11,NA,1556481780,72,-22.95,14.51,62.6,8.05
50,Chernyshevskiy,0,RU,1556484266,88,63.01,112.47,11.1,3.89
51,Pacific Grove,20,US,1556484236,59,36.62,-121.92,73.0,14.99
52,Abu Samrah,15,SY,1556484270,55,35.3,37.18,66.36,5.64
53,Grootfontein,0,NA,1556484272,20,-19.56,18.1,62.4,5.73
54,Dolores,0,UY,1556484275,70,-33.53,-58.22,70.5,5.93
55,Faya,0,SA,1556481600,68,18.39,42.45,66.2,4.7
56,Racale,20,IT,1556483691,87,39.96,18.09,60.01,5.82
57,Emerald,35,AU,1556483765,67,-23.53,148.16,60.8,9.17
58,Severo-Kurilsk,0,RU,1556484283,87,50.68,156.12,35.4,13.62
59,Simav,41,TR,1556484007,10,39.09,28.98,64.99,10.0
60,Ponta do Sol,54,BR,1556484288,88,-20.63,-46.0,69.06,4.63
61,Kapaa,75,US,1556484196,74,22.08,-159.32,80.6,14.99
62,Maragogi,57,BR,1556484292,84,-9.01,-35.22,76.98,4.72
63,Grenada,1,US,1556483529,53,33.77,-89.81,80.6,3.53
64,Arraial do Cabo,0,BR,1556481600,66,-22.97,-42.02,87.8,6.93
65,Bathsheba,40,BB,1556481600,66,13.22,-59.52,86.0,16.11
66,Provideniya,100,RU,1556484301,95,64.42,-173.23,29.82,8.52
67,Cape Town,90,ZA,1556484167,100,-33.93,18.42,60.01,5.82
68,Port Blair,100,IN,1556484299,71,11.67,92.75,85.62,12.37
69,Uruzgan,64,AF,1556484310,28,32.93,66.63,47.82,2.84
70,Cherskiy,97,RU,1556484313,92,68.75,161.3,20.1,2.86
71,Kavieng,100,PG,1556484315,72,-2.57,150.8,84.72,6.51
72,Golden,40,CA,1556481600,16,51.3,-116.96,50.0,6.93
73,Rawson,0,AR,1556484237,38,-43.3,-65.11,64.74,13.98
74,Channel-Port aux Basques,53,CA,1556484302,85,47.57,-59.14,38.1,7.54
75,Nome,75,US,1556484310,47,30.04,-94.42,82.0,9.17
76,Tevaitoa,100,PF,1556484325,79,-16.78,-151.5,82.56,19.71
77,Hargeysa,20,SO,1556484328,76,9.56,44.06,73.56,3.62
78,Vechta,12,DE,1556484323,100,52.73,8.29,48.99,5.91
79,Ringebu,40,NO,1556484056,70,61.53,10.14,45.0,3.0
80,Pinawa,100,CA,1556484334,16,50.15,-95.88,49.98,4.76
81,Ikwiriri,100,TZ,1556484336,94,-7.96,38.99,75.72,2.62
82,Puerto Ayora,20,EC,1556483494,70,-0.74,-90.35,84.2,16.11
83,Geraldton,75,CA,1556482020,28,49.72,-86.95,42.8,12.75
84,Bredasdorp,0,ZA,1556484312,93,-34.53,20.04,59.0,3.36
85,Port Alfred,0,ZA,1556484094,91,-33.59,26.89,64.99,1.01
86,Bayonet Point,1,US,1556484342,42,28.33,-82.68,90.0,4.7
87,Albany,90,US,1556484151,66,42.65,-73.75,50.0,10.29
88,Lebu,40,ET,1556481600,77,8.96,38.73,62.6,2.24
89,Katangli,0,RU,1556484354,63,51.71,143.23,38.82,3.27
90,Busselton,100,AU,1556484272,46,-33.64,115.35,63.0,22.39
91,Bonito,19,BR,1556484358,81,-21.13,-56.49,76.62,3.44
92,Tumpat,75,MY,1556481600,94,6.2,102.17,80.6,1.88
93,Todos Santos,75,MX,1556484347,33,23.45,-110.23,91.0,16.24
94,Pangnirtung,90,CA,1556481600,60,66.15,-65.72,39.2,10.29
95,Manokwari,100,ID,1556484367,79,-0.87,134.08,75.18,3.44
96,Anaco,15,VE,1556484078,23,9.43,-64.46,98.04,10.85
97,Kualakapuas,90,ID,1556481600,100,-3.01,114.39,77.0,4.7
98,Bam,32,IR,1556484373,38,29.11,58.36,59.52,7.11
99,Praia,0,BR,1556481600,51,-20.25,-43.81,82.4,11.41
100,Hami,21,CN,1556484378,20,42.84,93.51,57.54,12.66
101,Kalmunai,100,LK,1556484380,89,7.42,81.82,76.62,2.55
102,Puerto Quijarro,75,BO,1556481600,69,-19.0,-57.72,82.4,5.82
103,Ballina,75,IE,1556484184,81,54.11,-9.15,54.0,8.05
104,Port Elizabeth,75,US,1556484378,48,39.31,-74.98,73.99,6.93
105,Anadyr,90,RU,1556484186,93,64.73,177.51,32.0,24.61
106,Thompson,20,CA,1556481600,32,55.74,-97.86,37.4,4.7
107,Zalegoshch,0,RU,1556484393,64,52.9,36.89,42.24,12.06
108,Solnechnyy,0,RU,1556484395,61,50.72,136.64,43.68,2.15
109,Ous,56,RU,1556484398,82,60.91,61.52,21.54,8.34
110,Navahrudak,78,BY,1556484400,78,53.59,25.82,57.36,12.68
111,Hovd,0,NO,1556484399,66,63.83,10.7,55.0,2.24
112,Honiara,20,SB,1556481600,100,-9.43,159.96,75.2,2.24
113,Mackenzie,1,CA,1556481600,29,55.34,-123.09,48.2,6.93
114,Broome,40,GB,1556484403,87,52.47,1.45,50.0,3.36
115,Butaritari,83,KI,1556484411,82,3.07,172.79,82.92,16.71
116,Aykhal,40,RU,1556481600,77,65.95,111.51,1.4,6.71
117,Sept-Iles,90,CA,1556484207,96,50.2,-66.38,36.0,4.7
118,Stari Bohorodchany,75,UA,1556481600,81,48.84,24.53,51.8,8.95
119,Saint-Philippe,1,CA,1556484416,49,45.36,-73.48,52.0,6.93
120,Yatou,100,CM,1556484422,82,3.63,9.81,84.0,13.24
121,Bandarbeyla,29,SO,1556484424,62,9.49,50.81,79.68,5.3
122,Umm Lajj,0,SA,1556484426,65,25.02,37.27,78.06,4.52
123,High Rock,75,BS,1556481600,69,26.63,-78.28,82.4,6.93
124,Petropavlovsk-Kamchatskiy,70,RU,1556481600,66,53.05,158.65,32.0,4.47
125,Avarua,100,CK,1556481600,88,-21.21,-159.78,78.8,23.04
126,Torbay,40,CA,1556484428,70,47.66,-52.73,48.2,6.93
127,Hilo,75,US,1556484368,78,19.71,-155.08,75.0,6.93
128,Puerto Maldonado,80,PE,1556484439,56,-12.59,-69.19,90.12,3.0
129,Yellowknife,40,CA,1556484180,42,62.45,-114.38,28.99,5.82
130,Ribeira Grande,75,PT,1556481600,93,38.52,-28.7,62.6,11.41
131,Dikson,100,RU,1556484445,95,73.51,80.55,10.38,9.75
132,Mayo,40,CA,1556481600,22,63.59,-135.9,46.4,5.82
133,Mykolayivka,96,UA,1556484450,88,47.54,30.76,54.3,7.47
134,Tuktoyaktuk,75,CA,1556481600,85,69.44,-133.03,14.0,3.36
135,Dourbali,38,TD,1556484454,9,11.81,15.86,98.4,11.18
136,Esperance,20,TT,1556484389,52,10.24,-61.45,87.8,17.22
137,Upernavik,35,GL,1556484458,83,72.79,-56.15,21.72,8.12
138,San Jose,100,PH,1556484208,73,15.79,120.99,79.5,5.37
139,Kavarna,0,BG,1556481600,62,43.43,28.33,55.4,1.12
140,Castro,40,CL,1556481600,71,-42.48,-73.76,55.4,11.41
141,Pevek,57,RU,1556484467,87,69.7,170.27,23.34,2.66
142,Saint-Denis,75,FR,1556484463,71,48.94,2.36,50.0,2.24
143,Lorengau,100,PG,1556484472,90,-2.02,147.27,79.14,0.25
144,Kasongo-Lunda,100,CD,1556484474,97,-6.48,16.82,70.68,1.48
145,Longyearbyen,75,NO,1556481000,86,78.22,15.63,33.8,3.36
146,Sitka,99,US,1556484413,52,37.17,-99.65,75.0,18.01
147,Talara,40,PE,1556481600,290,-4.58,-81.27,62.6,13.87
148,San Jeronimo,100,PE,1556484483,43,-13.65,-73.37,62.94,10.02
149,Burgeo,13,CA,1556484485,87,47.61,-57.61,36.12,7.83
150,Laguna,20,MX,1556480880,9,27.52,-110.01,95.0,12.75
151,Georgetown,40,GY,1556485200,74,6.8,-58.16,87.8,13.87
152,Svetlogorsk,75,RU,1556481600,87,53.14,59.15,48.2,6.71
153,Santo Domingo,40,DO,1556484194,62,18.48,-69.94,86.0,13.87
154,Nichinan,85,JP,1556484185,77,31.65,131.31,62.01,5.99
155,Voyvozh,84,RU,1556484499,83,62.89,54.96,21.0,7.29
156,Yertsevo,0,RU,1556484501,73,60.8,40.09,26.04,3.87
157,Roald,0,NO,1556484390,93,62.58,6.12,53.6,3.36
158,Kavaratti,100,IN,1556484505,78,10.57,72.64,85.08,12.64
159,Kodiak,75,US,1556484443,23,39.95,-94.76,55.99,16.11
160,Ambulu,79,ID,1556484510,79,-8.35,113.61,80.22,5.77
161,Touros,40,BR,1556481600,74,-5.2,-35.46,84.2,9.17
162,Kaitangata,100,NZ,1556484445,87,-46.28,169.85,50.0,23.0
163,Pemba,75,MZ,1556481600,88,-12.97,40.52,75.2,10.29
164,Tiznit,0,MA,1556484466,79,29.7,-9.73,66.18,7.52
165,Berlevag,40,NO,1556481000,80,70.86,29.09,35.6,8.05
166,Ketchikan,1,US,1556481180,58,55.34,-131.65,53.6,11.41
167,Nalgonda,99,IN,1556484528,41,17.05,79.27,89.22,9.24
168,Adacs,90,HU,1556484485,100,47.69,19.98,51.8,6.93
169,Beloha,10,MG,1556484532,73,-25.17,45.06,68.34,8.55
170,Klaksvik,73,FO,1556482800,87,62.23,-6.59,46.4,10.29
171,Victoria,75,BN,1556481600,88,5.28,115.24,80.6,3.36
172,Mingaora,0,PK,1556484538,39,34.78,72.36,55.56,11.88
173,Bethel,1,US,1556481360,42,60.79,-161.76,48.2,16.11
174,Lavrentiya,100,RU,1556484543,91,65.58,-170.99,30.36,9.24
175,San Cristobal,75,EC,1556484331,31,-0.39,-78.55,75.2,8.05
176,Gazojak,0,TM,1556484548,21,41.19,61.4,65.1,5.7
177,Longido,96,TZ,1556484550,96,-2.73,36.7,63.48,7.72
178,Narrabri,0,AU,1556481600,56,-30.33,149.78,44.6,5.82
179,Qaanaaq,36,GL,1556484555,64,77.48,-69.36,14.52,4.45
180,Charlestown,90,US,1556484401,81,41.38,-71.64,50.0,5.82
181,Suntar,0,RU,1556484559,75,62.16,117.65,22.8,3.6
182,Ko Samui,100,TH,1556484429,73,9.54,99.94,85.08,4.12
183,Road Town,2,VG,1556484525,69,18.42,-64.62,82.4,11.41
184,Marsh Harbour,0,BS,1556484483,83,26.54,-77.06,76.98,10.8
185,Buford,1,US,1556484331,45,32.46,-100.86,88.0,13.87
186,Orissaare,0,EE,1556484484,57,58.56,23.08,48.2,8.05
187,Plouzane,90,FR,1556484486,93,48.38,-4.62,53.01,4.7
188,Det Udom,24,TH,1556481600,78,14.9,105.08,78.8,3.36
189,Avera,1,US,1556484537,26,33.19,-82.53,88.0,6.93
190,Mount Gambier,90,AU,1556481600,100,-37.83,140.78,50.0,9.17
191,Fethiye,0,TR,1556484430,87,36.62,29.12,62.01,4.7
192,Salta,0,AR,1556481600,49,-24.79,-65.41,73.4,8.05
193,Kruisfontein,0,ZA,1556484585,26,-34.0,24.73,70.32,6.8
194,Cidreira,52,BR,1556484587,77,-30.17,-50.22,68.34,9.48
195,Montrose,90,AU,1556484444,87,-37.81,145.34,55.99,5.82
196,Khor,100,RU,1556484591,67,47.88,134.96,53.76,5.14
197,Alindao,48,CF,1556484593,47,5.04,21.21,81.66,2.39
198,Pisco,0,PE,1556484417,30,-13.71,-76.2,73.0,8.05
199,Dire,40,ET,1556481600,77,9.18,38.92,62.6,2.24
200,Qianguo,0,CN,1556484600,56,45.12,124.86,47.64,10.38
201,Yarada,74,IN,1556484602,85,17.65,83.27,84.36,9.53
202,Tual,100,ID,1556484604,78,-5.67,132.75,85.62,15.7
203,Baihar,0,IN,1556484607,13,22.11,80.55,86.16,2.86
204,Sidi Ali,27,DZ,1556484609,70,36.1,0.42,65.28,11.9
205,Leningradskiy,38,RU,1556484611,75,69.38,178.42,28.92,5.03
206,Carnarvon,0,ZA,1556484613,20,-30.97,22.13,68.16,7.23
207,Igarka,43,RU,1556484615,99,67.47,86.57,-2.76,3.51
208,Ghanzi,0,BW,1556484618,42,-21.7,21.65,72.12,7.83
209,Shelburne,20,CA,1556484616,30,44.08,-80.2,51.01,13.87
210,Negombo,40,LK,1556482200,88,7.21,79.83,80.6,4.7
211,Kirakira,66,SB,1556484624,81,-10.46,161.92,81.66,7.38
212,Praia da Vitoria,20,PT,1556484370,82,38.73,-27.07,64.4,16.08
213,Skibbereen,75,IE,1556481600,87,51.55,-9.27,51.8,9.17
214,Jamestown,0,AU,1556484630,86,-33.21,138.6,50.88,6.71
215,Linjiang,4,CN,1556484633,93,41.81,126.91,36.3,2.75
216,Buala,66,SB,1556484635,76,-8.15,159.59,82.74,5.46
217,De-Kastri,0,RU,1556484637,67,51.48,140.77,39.9,0.49
218,Jiazi,0,CN,1556481600,74,19.61,110.49,80.6,6.71
219,Hithadhoo,100,MV,1556484641,80,-0.6,73.08,84.54,13.65
220,Westport,75,IE,1556484491,81,53.8,-9.52,54.0,8.05
221,Constitucion,90,MX,1556484616,9,23.99,-104.67,84.2,22.44
222,Talnakh,53,RU,1556481600,84,69.49,88.39,-0.41,11.18
223,Moundou,78,TD,1556484650,36,8.57,16.07,91.56,7.14
224,Margate,75,AU,1556484574,57,-43.03,147.26,51.8,6.93
225,Vao,0,EE,1556484655,57,59.1,26.19,37.2,7.07
226,Magadan,0,RU,1556484657,72,59.56,150.8,33.06,1.99
227,Saint George,20,GR,1556481000,62,39.45,22.34,57.2,2.62
228,Abilene,1,US,1556484391,48,32.45,-99.73,86.0,20.8
229,Salalah,0,OM,1556481000,66,17.01,54.1,84.2,2.24
230,Corrente,23,BR,1556484666,66,-17.45,-44.68,76.44,2.77
231,Azul,0,AR,1556484654,60,-36.78,-59.86,66.9,7.0
232,San Patricio,0,PY,1556484670,80,-26.98,-56.83,68.16,4.14
233,Hualmay,100,PE,1556484672,91,-11.1,-77.61,67.8,11.79
234,Teyateyaneng,0,LS,1556484674,51,-29.15,27.74,50.16,1.79
235,Tasiilaq,75,GL,1556481000,80,65.61,-37.64,39.2,5.82
236,Lalmohan,96,BD,1556484678,79,22.34,90.74,83.82,13.67
237,Ancud,40,CL,1556481600,71,-41.87,-73.83,55.4,11.41
238,Bambous Virieux,75,MU,1556484543,94,-20.34,57.76,73.99,5.82
239,Kayes,0,ML,1556484685,11,14.44,-11.44,105.42,4.97
240,Sharkan,0,RU,1556484382,88,57.3,53.87,30.0,8.08
241,Garowe,66,SO,1556484689,47,8.41,48.48,82.92,9.46
242,Alofi,40,NU,1556481600,83,-19.06,-169.92,80.6,9.17
243,Codrington,75,AU,1556484486,100,-28.95,153.24,69.8,4.76
244,Tela,40,HN,1556484611,49,15.78,-87.45,93.2,16.11
245,Micheweni,100,TZ,1556484698,75,-4.97,39.83,85.26,7.74
246,Orangeburg,1,US,1556484900,26,33.49,-80.86,88.0,6.93
247,Fort Nelson,20,CA,1556481600,26,58.81,-122.69,46.4,9.17
248,Malyye Derbety,27,RU,1556484704,65,47.95,44.68,61.14,11.01
249,Komsomolskiy,90,RU,1556484707,98,67.55,63.78,5.52,5.01
250,Nicoya,40,CR,1556481600,44,10.15,-85.45,95.0,18.34
251,Konstantinovka,99,MD,1556484402,75,47.99,28.86,59.0,4.03
252,Bronnitsy,0,RU,1556484021,48,55.42,38.26,44.01,8.95
253,Palmas de Monte Alto,43,BR,1556484715,56,-14.26,-43.16,77.88,0.56
254,Syracuse,75,US,1556484624,52,43.05,-76.15,50.0,12.75
255,Kungurtug,0,RU,1556484720,63,50.6,97.53,22.26,3.2
256,Ritchie,0,ZA,1556484722,29,-29.03,24.6,66.18,8.14
257,Rochegda,0,RU,1556484724,77,62.67,43.41,24.06,4.05
258,Beringovskiy,100,RU,1556484726,97,63.05,179.32,31.98,8.43
259,Brae,49,GB,1556482800,81,60.4,-1.35,48.2,9.17
260,Viedma,1,AR,1556484730,45,-40.81,-62.99,63.66,4.88
261,Mecca,0,SA,1556484733,45,21.43,39.83,86.7,4.34
262,Maceio,0,BR,1556481600,65,-9.67,-35.74,80.6,11.41
263,Havoysund,0,NO,1556481000,79,71.0,24.66,39.2,6.93
264,Nehe,0,CN,1556484739,46,48.48,124.88,50.16,4.41
265,Kenora,90,CA,1556484162,48,49.76,-94.48,42.8,6.93
266,Fayaoue,5,NC,1556484743,78,-20.65,166.53,76.62,24.34
267,Zwiesel,36,DE,1556484745,83,49.01,13.23,43.0,2.66
268,Labuhan,65,ID,1556484748,91,-2.54,115.51,73.74,1.92
269,Talaya,75,RU,1556484625,75,55.79,84.89,32.0,11.18
270,Korhogo,59,CI,1556484752,46,9.46,-5.63,89.76,2.64
271,Ambilobe,43,MG,1556484754,95,-13.19,49.05,73.92,4.65
272,Adrar,0,DZ,1556481600,12,27.87,-0.29,86.0,18.34
273,Faanui,100,PF,1556484759,79,-16.48,-151.75,83.28,19.48
274,Dhana,0,IN,1556484761,12,23.75,78.86,90.48,4.74
